company_name,company_website,ats,job_title,job_location,job_type,job_salary,job_description_short,job_contact_person,job_contact_email,job_url,source_raw,date
AAVE,https://aave.com/,Lever,Business Development Associate,New York,Full-time,,"About usAave Labs builds innovative products leveraging blockchain technologies. Aave Labs' suite includes the Aave app, unleashing the Aave Protocol and its native stablecoin GHO, Lens, an open social network, and Family, a design-first mobile crypto wallet. Our vision is to build a people-powered internet that benefits all.Our cultureHaving cultivated a thriving, collaborative culture, our team is kind, welcoming and passionate about what we are building. We celebrate differences and seek to d",Muna,,https://jobs.eu.lever.co/aavelabs/d8abd786-370b-4948-8bbc-58108daabc04,https://api.eu.lever.co/v0/postings/aavelabs,2025-12-19
AAVE,https://aave.com/,Lever,Director of Enterprise Sales & Partnerships,New York,Full-time,,"About usAave Labs builds innovative products leveraging blockchain technologies. Aave Labs' suite includes the Aave app, unleashing the Aave Protocol and its native stablecoin GHO, Lens, an open social network, and Family, a design-first mobile crypto wallet. Our vision is to build a people-powered internet that benefits all.Our cultureHaving cultivated a thriving, collaborative culture, our team is kind, welcoming and passionate about what we are building. We celebrate differences and seek to d",Muna,,https://jobs.eu.lever.co/aavelabs/e49dd7c5-486e-4a22-85c4-8b621890a224,https://api.eu.lever.co/v0/postings/aavelabs,2025-12-19
AAVE,https://aave.com/,Lever,Dream Job,"Remote, EU",Full-time,,"We love to connect with people who want to build the future of the Internet, so feel free to get in touch even if you don’t see a role here that fits your skills. We are managing a high volume of applications or may not have a role for you right now, therefore we will only reach out to you if the right opportunity arises. ",Muna,,https://jobs.eu.lever.co/aavelabs/7017db1b-5cb8-440f-916f-f2e0fe5137a9,https://api.eu.lever.co/v0/postings/aavelabs,2025-12-19
AAVE,https://aave.com/,Lever,Partner Solutions Architect,"London, England",Full-time,,"About usAave Labs builds innovative products leveraging blockchain technologies. Aave Labs' suite includes the Aave app, unleashing the Aave Protocol and its native stablecoin GHO, Lens, an open social network, and Family, a design-first mobile crypto wallet. Our vision is to build a people-powered internet that benefits all.Our cultureHaving cultivated a thriving, collaborative culture, our team is kind, welcoming and passionate about what we are building. We celebrate differences and seek to d",Muna,,https://jobs.eu.lever.co/aavelabs/8d4c6dd8-6246-4c22-a0f3-968b0f46cb9f,https://api.eu.lever.co/v0/postings/aavelabs,2025-12-19
AAVE,https://aave.com/,Lever,Product Marketing Manager,"London, England",Full-time,,"About usAave Labs builds innovative products leveraging blockchain technologies. Aave Labs' suite includes the Aave app, unleashing the Aave Protocol and its native stablecoin GHO, Lens, an open social network, and Family, a design-first mobile crypto wallet. Our vision is to build a people-powered internet that benefits all.Our cultureHaving cultivated a thriving, collaborative culture, our team is kind, welcoming and passionate about what we are building. We celebrate differences and seek to d",Muna,,https://jobs.eu.lever.co/aavelabs/1edc70fd-91dc-41c8-99df-dcd7cb7dfd41,https://api.eu.lever.co/v0/postings/aavelabs,2025-12-19
AAVE,https://aave.com/,Lever,Social Media Manager,"London, England",Full-time,,"About usAave Labs builds innovative products leveraging blockchain technologies. Aave Labs' suite includes the Aave app, unleashing the Aave Protocol and its native stablecoin GHO, Lens, an open social network, and Family, a design-first mobile crypto wallet. Our vision is to build a people-powered internet that benefits all.Our cultureHaving cultivated a thriving, collaborative culture, our team is kind, welcoming and passionate about what we are building. We celebrate differences and seek to d",Muna,,https://jobs.eu.lever.co/aavelabs/b9097f79-01b8-4ffa-ae01-1b4a0b37a57a,https://api.eu.lever.co/v0/postings/aavelabs,2025-12-19
AAVE,https://aave.com/,Lever,Staff Smart Contract Engineer,"Remote, EU",Service Provider,,"About usAave Labs builds innovative products leveraging blockchain technologies. Aave Labs' suite includes the Aave app, unleashing the Aave Protocol and its native stablecoin GHO, Lens, an open social network, and Family, a design-first mobile crypto wallet. Our vision is to build a people-powered internet that benefits all.Our cultureHaving cultivated a thriving, collaborative culture, our team is kind, welcoming and passionate about what we are building. We celebrate differences and seek to d",Muna,,https://jobs.eu.lever.co/aavelabs/a3f47e26-ab0a-403d-8e59-ca2d7e5b4fe7,https://api.eu.lever.co/v0/postings/aavelabs,2025-12-19
Aragon,https://aragon.org/,Lever,Engineering Lead,Remote,Full-time,,"Aragon is a small team of people that spans a broad range of backgrounds, interests, and geographies. We're entrepreneurs and degens, technologists and skeptics, troublemakers and problem solvers, who are building unstoppable tooling for the next generation of onchain organizations.Aragon launched the first DAO framework in 2017, securing over $35 billion in assets for the likes of Lido and Curve. We are currently building Aragon OSx, a toolkit for launching secure and modular organizations, and",Alex,,https://jobs.lever.co/aragon/71eadf1d-a1a7-427d-9b2c-f36f7f67f38b,https://api.lever.co/v0/postings/aragon,2025-12-19
Aragon,https://aragon.org/,Lever,Smart Contract Engineer,Remote - Europe,Full-time,,"Aragon is a small team of people that spans a broad range of backgrounds, interests, and geographies. We're entrepreneurs and degens, technologists and skeptics, troublemakers and problem solvers, who are building unstoppable tooling for the next generation of onchain organizations.Aragon launched the first DAO framework in 2017, securing over $35 billion in assets for the likes of Lido and Curve. We are currently building Aragon OSx, a toolkit for launching secure and modular organizations, and",Alex,,https://jobs.lever.co/aragon/09e50def-184c-433a-a94b-2c605fafd68b,https://api.lever.co/v0/postings/aragon,2025-12-19
Bebob,https://bebop.xyz/,Lever,Algorithmic Trader,London,Full-time,,"About WintermuteWintermute is one of the largest crypto-native algorithmic trading companies in digital assets. We provide liquidity algorithmically across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. We actively participate in the development of the blockchain ecosystem through investments, partnerships, and incubation of projects.Wintermu",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/b14e6e12-1f39-41b8-a3ed-8b02ac8b1464,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
